Customer_ID,Name,DOB,PAN,CIF
C0001,Customer1,1999-07-24,PAN0001,CIF0001
C0002,Customer2,1977-08-05,PAN0002,CIF0002
C0003,Customer3,1975-06-06,PAN0003,CIF0003
C0004,Customer4,1978-02-03,PAN0004,CIF0004
C0005,Customer5,1997-09-24,PAN0005,CIF0005
C0006,Customer6,1999-08-21,PAN0006,CIF0006
C0007,Customer7,1973-01-04,PAN0007,CIF0007
C0008,Customer8,1994-03-03,PAN0008,CIF0008
C0009,Customer9,1978-07-20,PAN0009,CIF0009
C0010,Customer10,1984-12-25,PAN0010,CIF0010
C0011,Customer11,1994-11-14,PAN0011,CIF0011
C0012,Customer12,1999-06-04,PAN0012,CIF0012
C0013,Customer13,1975-05-24,PAN0013,CIF0013
C0014,Customer14,1987-07-11,PAN0014,CIF0014
C0015,Customer15,1979-06-23,PAN0015,CIF0015
C0016,Customer16,1995-06-08,PAN0016,CIF0016
C0017,Customer17,1987-01-06,PAN0017,CIF0017
C0018,Customer18,1999-02-19,PAN0018,CIF0018
C0019,Customer19,1987-06-12,PAN0019,CIF0019
C0020,Customer20,1988-09-14,PAN0020,CIF0020
C0021,Customer21,1981-09-02,PAN0021,CIF0021
C0022,Customer22,1970-10-19,PAN0022,CIF0022
C0023,Customer23,1987-07-20,PAN0023,CIF0023
C0024,Customer24,1987-05-06,PAN0024,CIF0024
C0025,Customer25,1974-07-22,PAN0025,CIF0025
C0026,Customer26,1979-10-09,PAN0026,CIF0026
C0027,Customer27,1973-05-11,PAN0027,CIF0027
C0028,Customer28,1979-08-16,PAN0028,CIF0028
C0029,Customer29,1982-07-13,PAN0029,CIF0029
C0030,Customer30,1980-02-08,PAN0030,CIF0030
C0031,Customer31,1995-08-24,PAN0031,CIF0031
C0032,Customer32,1987-09-06,PAN0032,CIF0032
C0033,Customer33,1995-04-13,PAN0033,CIF0033
C0034,Customer34,1976-10-24,PAN0034,CIF0034
C0035,Customer35,1978-07-25,PAN0035,CIF0035
C0036,Customer36,1991-12-18,PAN0036,CIF0036
C0037,Customer37,1998-05-08,PAN0037,CIF0037
C0038,Customer38,1979-12-10,PAN0038,CIF0038
C0039,Customer39,1998-11-05,PAN0039,CIF0039
C0040,Customer40,1999-04-02,PAN0040,CIF0040
C0041,Customer41,1988-01-27,PAN0041,CIF0041
C0042,Customer42,1985-03-28,PAN0042,CIF0042
C0043,Customer43,1986-11-23,PAN0043,CIF0043
C0044,Customer44,1985-01-05,PAN0044,CIF0044
C0045,Customer45,1996-12-16,PAN0045,CIF0045
C0046,Customer46,1973-01-28,PAN0046,CIF0046
C0047,Customer47,1984-07-24,PAN0047,CIF0047
C0048,Customer48,2000-11-18,PAN0048,CIF0048
C0049,Customer49,1973-05-01,PAN0049,CIF0049
C0050,Customer50,1994-08-21,PAN0050,CIF0050
C0051,Customer51,1970-03-06,PAN0051,CIF0051
C0052,Customer52,1981-05-13,PAN0052,CIF0052
C0053,Customer53,1989-01-18,PAN0053,CIF0053
C0054,Customer54,1994-11-02,PAN0054,CIF0054
C0055,Customer55,1970-09-24,PAN0055,CIF0055
C0056,Customer56,1972-01-26,PAN0056,CIF0056
C0057,Customer57,1997-04-18,PAN0057,CIF0057
C0058,Customer58,1995-01-04,PAN0058,CIF0058
C0059,Customer59,2000-12-17,PAN0059,CIF0059
C0060,Customer60,1973-05-27,PAN0060,CIF0060
C0061,Customer61,1979-07-08,PAN0061,CIF0061
C0062,Customer62,1980-07-18,PAN0062,CIF0062
C0063,Customer63,1994-11-02,PAN0063,CIF0063
C0064,Customer64,1987-06-15,PAN0064,CIF0064
C0065,Customer65,1984-10-08,PAN0065,CIF0065
C0066,Customer66,1977-03-07,PAN0066,CIF0066
C0067,Customer67,1999-06-16,PAN0067,CIF0067
C0068,Customer68,1984-10-16,PAN0068,CIF0068
C0069,Customer69,1975-08-17,PAN0069,CIF0069
C0070,Customer70,1999-03-21,PAN0070,CIF0070
C0071,Customer71,1988-11-25,PAN0071,CIF0071
C0072,Customer72,1986-11-12,PAN0072,CIF0072
C0073,Customer73,1974-09-09,PAN0073,CIF0073
C0074,Customer74,1970-12-10,PAN0074,CIF0074
C0075,Customer75,1982-07-22,PAN0075,CIF0075
C0076,Customer76,1975-08-11,PAN0076,CIF0076
C0077,Customer77,1987-10-27,PAN0077,CIF0077
C0078,Customer78,1992-01-04,PAN0078,CIF0078
C0079,Customer79,1972-10-23,PAN0079,CIF0079
C0080,Customer80,1996-11-23,PAN0080,CIF0080
C0081,Customer81,1975-06-11,PAN0081,CIF0081
C0082,Customer82,1975-01-28,PAN0082,CIF0082
C0083,Customer83,1993-03-27,PAN0083,CIF0083
C0084,Customer84,1974-10-05,PAN0084,CIF0084
C0085,Customer85,1992-03-14,PAN0085,CIF0085
C0086,Customer86,1998-09-02,PAN0086,CIF0086
C0087,Customer87,1991-12-10,PAN0087,CIF0087
C0088,Customer88,1972-12-13,PAN0088,CIF0088
C0089,Customer89,1999-11-15,PAN0089,CIF0089
C0090,Customer90,1985-10-22,PAN0090,CIF0090
C0091,Customer91,1971-02-15,PAN0091,CIF0091
C0092,Customer92,1972-12-09,PAN0092,CIF0092
C0093,Customer93,1988-11-26,PAN0093,CIF0093
C0094,Customer94,1974-01-17,PAN0094,CIF0094
C0095,Customer95,1970-12-09,PAN0095,CIF0095
C0096,Customer96,1998-02-01,PAN0096,CIF0096
C0097,Customer97,1973-11-24,PAN0097,CIF0097
C0098,Customer98,1979-02-20,PAN0098,CIF0098
C0099,Customer99,1973-01-27,PAN0099,CIF0099
C0100,Customer100,1994-02-03,PAN0100,CIF0100
C0101,Customer101,1987-09-04,PAN0101,CIF0101
C0102,Customer102,1983-07-07,PAN0102,CIF0102
C0103,Customer103,1991-10-08,PAN0103,CIF0103
C0104,Customer104,1980-04-21,PAN0104,CIF0104
C0105,Customer105,1986-01-25,PAN0105,CIF0105
C0106,Customer106,1993-04-14,PAN0106,CIF0106
C0107,Customer107,1971-09-08,PAN0107,CIF0107
C0108,Customer108,1982-08-05,PAN0108,CIF0108
C0109,Customer109,1996-06-07,PAN0109,CIF0109
C0110,Customer110,1970-04-19,PAN0110,CIF0110
C0111,Customer111,1971-09-07,PAN0111,CIF0111
C0112,Customer112,1985-04-16,PAN0112,CIF0112
C0113,Customer113,1970-08-28,PAN0113,CIF0113
C0114,Customer114,1978-06-06,PAN0114,CIF0114
C0115,Customer115,1975-09-25,PAN0115,CIF0115
C0116,Customer116,1991-04-23,PAN0116,CIF0116
C0117,Customer117,1996-07-02,PAN0117,CIF0117
C0118,Customer118,1976-06-15,PAN0118,CIF0118
C0119,Customer119,1978-09-06,PAN0119,CIF0119
C0120,Customer120,1991-12-23,PAN0120,CIF0120
C0121,Customer121,1993-01-23,PAN0121,CIF0121
C0122,Customer122,1980-07-24,PAN0122,CIF0122
C0123,Customer123,1987-10-08,PAN0123,CIF0123
C0124,Customer124,1995-05-09,PAN0124,CIF0124
C0125,Customer125,1998-06-26,PAN0125,CIF0125
C0126,Customer126,1982-08-17,PAN0126,CIF0126
C0127,Customer127,1990-07-03,PAN0127,CIF0127
C0128,Customer128,1996-06-06,PAN0128,CIF0128
C0129,Customer129,1974-10-13,PAN0129,CIF0129
C0130,Customer130,1974-07-07,PAN0130,CIF0130
C0131,Customer131,1984-03-13,PAN0131,CIF0131
C0132,Customer132,1977-09-21,PAN0132,CIF0132
